toll_point_id_nacional,uf,escopo,regulador,jurisdicao,concessionaria_orgao,lote_concessao,codigo_praca,praca_portico,tipo_ponto,rodovia,km,municipio,sentido,latitude,longitude,eixos,valor_brl,tipo_valor,confianca_valor,confianca_geo,entra_no_calculo_pedagio,classe_cobranca,status_operacional,source_tarifa_url,source_geo_url
br_antt_066_ecovias_capixaba_aracruz,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P3 - Aracruz ,praca_fisica,BR-101,171.7,Aracruz,Crescente/Decrescente,-19.56309900,-40.17762100,7,44.80,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_066_ecovias_capixaba_aracruz,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P3 - Aracruz ,praca_fisica,BR-101,171.7,Aracruz,Crescente/Decrescente,-19.56309900,-40.17762100,8,51.20,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_066_ecovias_capixaba_aracruz,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P3 - Aracruz ,praca_fisica,BR-101,171.7,Aracruz,Crescente/Decrescente,-19.56309900,-40.17762100,9,57.60,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_072_ecovias_capixaba_serra,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P4 - Serra ,praca_fisica,BR-101,242.0,Serra,Crescente/Decrescente,-20.03256500,-40.39662400,2,12.20,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_072_ecovias_capixaba_serra,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P4 - Serra ,praca_fisica,BR-101,242.0,Serra,Crescente/Decrescente,-20.03256500,-40.39662400,3,18.30,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_072_ecovias_capixaba_serra,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P4 - Serra ,praca_fisica,BR-101,242.0,Serra,Crescente/Decrescente,-20.03256500,-40.39662400,4,24.40,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_072_ecovias_capixaba_serra,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P4 - Serra ,praca_fisica,BR-101,242.0,Serra,Crescente/Decrescente,-20.03256500,-40.39662400,5,30.50,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_072_ecovias_capixaba_serra,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P4 - Serra ,praca_fisica,BR-101,242.0,Serra,Crescente/Decrescente,-20.03256500,-40.39662400,6,36.60,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_072_ecovias_capixaba_serra,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P4 - Serra ,praca_fisica,BR-101,242.0,Serra,Crescente/Decrescente,-20.03256500,-40.39662400,7,42.70,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_072_ecovias_capixaba_serra,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P4 - Serra ,praca_fisica,BR-101,242.0,Serra,Crescente/Decrescente,-20.03256500,-40.39662400,8,48.80,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
