toll_point_id,uf,regulador,jurisdicao,concessionaria,lote,codigo_praca,nome,tipo_ponto,rodovia,km,municipio,sentido,latitude,longitude,valor_base_categoria1_brl,eixos_2_brl,eixos_3_brl,eixos_4_brl,eixos_5_brl,eixos_6_brl,eixos_7_brl,eixos_8_brl,eixos_9_brl,status_operacional,classe_cobranca,calcular_pedagio,confianca_geo,confianca_valor,source_tarifa_url,source_geo_url
br_antt_080_ecovias_araguaia_jaragua,GO,ANTT,federal,ECOVIAS DO ARAGUAIA,,,P7 - Jaraguá,praca_fisica,BR-153,367.5,Jaraguá,Crescente/Decrescente,-15.82713530,-49.28157595,15.60,31.20,46.80,62.40,78.00,93.60,109.20,124.80,140.40,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-araguaia/tarifas-de-pedagio,OSM Overpass export (13).geojson cruzado com fonte oficial ANTT/concessionária
br_antt_076_ecovias_araguaia_santa_rita_novo_destino,GO,ANTT,federal,ECOVIAS DO ARAGUAIA,,,P8 - Santa Rita do Novo Destino,praca_fisica,BR-80,155.5,Santa Rita do Novo Destino,Crescente/Decrescente,-14.81427330,-49.04235230,14.30,28.60,42.90,57.20,71.50,85.80,100.10,114.40,128.70,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-araguaia/tarifas-de-pedagio,OSM Overpass export (13).geojson cruzado com fonte oficial ANTT/concessionária
br_antt_077_ecovias_araguaia_corumba_goias,GO,ANTT,federal,ECOVIAS DO ARAGUAIA,,,P9 - Corumbá de Goiás,praca_fisica,BR-414,404.08,Corumbá de Goiás,Crescente/Decrescente,-16.00354480,-48.84123405,14.30,28.60,42.90,57.20,71.50,85.80,100.10,114.40,128.70,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-araguaia/tarifas-de-pedagio,OSM Overpass export (13).geojson cruzado com fonte oficial ANTT/concessionária
br_antt_001_autopista_fernao_dias_,MG,ANTT,federal,AUTOPISTA FERNÃO DIAS,,,3 (Cambuí),praca_fisica,BR-381,900.9,Cambuí,Crescente/Decrescente,-22.62848700,-46.07789000,3.20,6.40,9.60,12.80,16.00,19.20,22.40,25.60,28.80,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_006_autopista_fernao_dias_,MG,ANTT,federal,AUTOPISTA FERNÃO DIAS,,,4 (São Gonçalo),praca_fisica,BR-381,805.2,São Gonçalo do Sapucaí,Crescente/Decrescente,-21.97044100,-45.63118800,3.20,6.40,9.60,12.80,16.00,19.20,22.40,25.60,28.80,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_002_autopista_fernao_dias_,MG,ANTT,federal,AUTOPISTA FERNÃO DIAS,,,5 (Carmo da Cachoeira),praca_fisica,BR-381,735.5,Carmo da Cachoeira,Crescente/Decrescente,-21.54570000,-45.24020300,3.20,6.40,9.60,12.80,16.00,19.20,22.40,25.60,28.80,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_005_autopista_fernao_dias_,MG,ANTT,federal,AUTOPISTA FERNÃO DIAS,,,6 (Santo Antônio do Amparo),praca_fisica,BR-381,658.3,Santo Antônio do Amparo,Crescente/Decrescente,-21.00036700,-44.96696700,3.20,6.40,9.60,12.80,16.00,19.20,22.40,25.60,28.80,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_003_autopista_fernao_dias_,MG,ANTT,federal,AUTOPISTA FERNÃO DIAS,,,7 (Carmópolis de Minas),praca_fisica,BR-381,597.7,Carmópolis de Minas,Crescente/Decrescente,-20.59148600,-44.70150600,3.20,6.40,9.60,12.80,16.00,19.20,22.40,25.60,28.80,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_004_autopista_fernao_dias_,MG,ANTT,federal,AUTOPISTA FERNÃO DIAS,,,8 (Itatiaiuçu),praca_fisica,BR-381,545.9,Itatiaiuçu,Crescente/Decrescente,-20.26834600,-44.42371100,3.20,6.40,9.60,12.80,16.00,19.20,22.40,25.60,28.80,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_058_eco050_araguari_i,MG,ANTT,federal,ECO050,,,ARAGUARI I,praca_fisica,BR-50,13.94,Araguari,Crescente/Decrescente,-18.54000000,-48.05000000,7.30,14.60,21.90,29.20,36.50,43.80,51.10,58.40,65.70,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
